Customer ID,Recency,Frequency,Monetary,AvgTimeBetweenOrders,WeekendPurchaseRatio,PreviousOrderAmount
12395,19,15,4721.17,2.3941908713692945,0.06198347107438017,19.465435684647304
12396,674,1,931.43,0.0,0.0,14.39421875
12397,36,2,2409.9,0.792,0.0,18.5592
12398,46,1,1635.66,0.0,0.0,17.091190476190476
12399,119,7,1962.3,4.807339449541284,0.0,17.865137614678897
12400,414,1,205.25,0.0,0.0,18.485
12401,303,1,84.3,0.0,0.0,17.325
12402,323,6,1256.9,5.0,0.4,17.781159420289857
12403,50,2,1019.36,58.875,0.0,122.92
12404,682,1,63.24,,0.0,
12405,149,1,1710.39,0.0,0.0,31.801698113207546
12406,22,5,6390.36,4.078787878787879,0.0,38.547636363636364
12407,50,5,1708.12,2.789473684210526,0.19480519480519481,22.00157894736842
12408,33,8,4340.77,2.930379746835443,0.0,26.99854430379747
12409,79,7,23419.29,1.8403041825095057,0.32954545454545453,88.97555133079848
12410,309,3,1013.71,4.948717948717949,0.35,25.55666666666667
12411,410,1,346.9,0.0,0.0,15.911904761904761
12412,75,6,2596.93,3.6666666666666665,0.0,20.372460317460316
12413,67,4,999.45,6.68,0.0784313725490196,19.629
12414,217,6,952.41,9.074074074074074,0.0,33.79296296296296
12415,24,28,144458.37,0.5297297297297298,0.0,155.70677837837837
12416,657,1,202.56,0.0,1.0,18.756
12417,3,20,6797.41,1.9592391304347827,0.1111111111111111,18.348940217391306
12418,113,4,2021.2,5.108910891089109,0.0,19.864851485148513
12419,386,2,503.01,1.125,0.0,19.48375
12420,64,1,600.39,0.0,0.0,20.37107142857143
12421,16,6,1098.6,7.609375,0.2153846153846154,16.728125
12422,96,17,5231.8,3.6023391812865495,0.12209302325581395,30.507602339181286
12423,1,10,2622.39,2.8048780487804876,0.0,15.898719512195122
12424,163,4,3340.03,4.230769230769231,0.0,36.52120879120879
12425,78,2,1741.41,4.111111111111111,0.0,19.179000000000002
12426,195,2,1345.21,6.157894736842105,0.38961038961038963,16.752763157894737
12427,22,3,825.8,11.633333333333333,0.0,26.326666666666668
12428,26,9,7956.46,0.8703071672354948,0.034013605442176874,26.88211604095563
12429,9,8,6204.41,3.5197368421052633,0.0,40.22638157894737
12430,43,1,256.4,0.0,0.0,21.64
12431,36,27,10432.22,1.6658097686375322,0.07692307692307693,25.271928020565554
12432,43,5,5059.32,1.1962616822429906,0.0,47.097383177570094
12433,1,10,16794.14,0.8458781362007168,0.0,30.06154121863799
12434,85,3,1103.43,4.27536231884058,0.0,15.704782608695654
12435,80,6,13925.93,5.90990990990991,0.0,123.93180180180181
12436,100,1,509.01,0.0,0.0,28.600666666666665
12437,2,39,12683.4,1.2758007117437722,0.046181172291296625,22.472241992882562
12438,14,2,2906.85,1.288659793814433,0.0,26.668556701030926
12439,683,2,1142.88,0.6142857142857143,0.0,15.821142857142858
12440,462,2,859.2,8.225806451612904,0.0,26.425806451612903
12441,367,1,173.55,0.0,0.0,15.555000000000001
12442,3,1,172.06,0.0,0.0,13.096363636363636
12443,732,1,485.31,0.0,0.0,18.2655
12444,21,5,5005.46,0.8514285714285714,0.0,27.2312
12445,22,2,434.98,17.304347826086957,0.0,16.477391304347826
12446,58,1,1002.31,0.0,0.0,17.61982142857143
12447,243,1,476.49,0.0,1.0,17.2596
12448,44,1,449.45,0.0,0.0,17.402380952380952
12449,22,6,4835.89,2.07,0.23880597014925373,23.54945
12450,156,5,688.2,8.777777777777779,0.4594594594594595,18.283333333333335
12451,11,8,12669.88,1.0098039215686274,0.0,24.76447058823529
12452,17,2,430.57,0.0,0.0,16.693809523809524
12453,134,1,707.09,0.0,0.0,16.364047619047618
12454,56,5,16679.78,9.282051282051283,0.0,418.45589743589744
12455,73,10,5879.95,2.8451327433628317,0.0,25.95907079646018
12456,44,3,3181.04,1.685483870967742,0.36,24.363225806451613
12457,66,8,2995.91,4.397590361445783,0.0,33.72963855421687
12458,71,4,1777.49,5.0,0.0,20.451686746987953
12459,605,1,454.36,0.0,0.0,18.10727272727273
12460,456,1,326.65,0.0,0.0,17.45
12461,94,2,826.88,1.7647058823529411,0.0,18.43764705882353
12462,19,2,1189.59,4.655737704918033,0.0,18.124426229508195
12463,53,4,1344.78,2.268292682926829,0.0,15.960731707317073
12464,10,8,1212.05,10.571428571428571,0.0,41.144642857142856
12465,17,2,742.19,3.3043478260869565,0.0,15.482391304347827
12466,682,1,56.73,,0.0,
12467,423,1,132.8,0.0,0.0,15.325
12468,188,5,3670.74,3.3087248322147653,0.17333333333333334,24.394228187919463
12469,523,2,3070.54,0.18666666666666668,0.0,40.60053333333333
12470,690,1,211.95,0.0,0.0,9.054545454545455
12471,2,79,39918.19,0.6252204585537919,0.038766519823788544,34.98958553791887
12472,32,19,16249.29,0.8095238095238095,0.13436385255648037,19.32296428571429
12473,29,5,3928.05,0.9698795180722891,0.0,23.41921686746988
12474,17,31,12372.75,0.8967468175388967,0.059322033898305086,17.4494342291372
12475,54,2,1149.64,5.933333333333334,0.0,18.26066666666667
12476,16,23,14083.91,0.9317738791423001,0.06809338521400778,27.425068226120857
12477,23,9,20276.37,1.0621669626998225,0.0,35.988223801065715
12478,4,1,680.99,0.0,0.0,19.096857142857143
12479,11,1,527.2,0.0,0.0,15.773333333333333
12480,28,7,5464.85,1.979253112033195,0.0,22.078215767634855
12481,23,15,12185.51,1.525065963060686,0.2026315789473684,32.1121635883905
12482,576,29,23691.4,0.3645320197044335,0.24509803921568626,116.45812807881774
12483,17,19,5097.18,4.751824817518248,0.16666666666666666,36.0378102189781
12484,33,12,6354.1,1.3702127659574468,0.267515923566879,13.221489361702128
12485,529,1,708.1,0.0,0.0,20.69393939393939
12486,432,1,1037.28,0.0,0.0,19.11
12487,731,1,285.3,0.0,0.0,208.8
12488,10,3,1298.66,1.2037037037037037,0.38181818181818183,23.774259259259257
12489,336,1,334.93,0.0,0.0,23.20357142857143
12490,5,21,9823.64,1.5726681127982647,0.19696969696969696,21.19227765726681
12491,39,1,460.4,0.0,0.0,16.544
12492,63,3,715.21,8.268292682926829,0.0,17.005121951219515
12493,166,2,433.74,1.4761904761904763,0.0,19.79714285714286
12494,16,9,1815.27,5.186915887850467,0.24074074074074073,16.628691588785045
12495,641,1,357.4,0.0,0.0,17.3375
12496,620,2,45.34,0.0,0.0,4.898888888888889
12497,82,3,6248.5,10.035714285714286,0.0,109.97321428571429
12498,21,3,403.7,1.6363636363636365,0.0,17.770454545454548
12499,560,1,393.72,0.0,0.0,13.758461538461539
12500,23,19,5955.21,4.43448275862069,0.06164383561643835,40.946275862068966
12501,337,1,2169.39,0.0,0.0,13.685067567567568
12502,96,5,3723.87,1.4589041095890412,0.0,24.163493150684932
12503,584,1,1126.0,0.0,0.0,896.0
12504,18,4,779.05,30.36842105263158,0.0,40.47894736842105
12505,409,1,955.2,0.0,0.0,19.200000000000003
12506,233,1,73.5,0.0,0.0,3.0704545454545453
12507,134,4,1844.06,9.375,0.0,34.91791666666666
12508,26,2,397.88,0.029850746268656716,0.25,5.901194029850746
12509,284,1,176.5,0.0,0.0,26.416666666666668
12510,143,9,5178.02,4.083333333333333,0.0,35.37513888888889
12511,429,1,3084.02,0.0,0.0,16.238201058201057
12512,66,2,132.18,0.0,0.0,4.081
12513,113,1,612.29,0.0,0.0,16.420294117647057
12514,267,2,1597.76,4.506024096385542,0.0,18.82
12515,353,1,383.7,0.0,0.0,18.58
12516,78,4,2648.62,7.123287671232877,0.17567567567567569,35.296164383561646
12517,28,5,2481.6,0.5755395683453237,0.0,8.732374100719424
12518,1,5,2056.89,0.8780487804878049,0.14516129032258066,16.43
12519,64,2,716.54,10.868421052631579,0.0,17.96157894736842
12520,79,5,2634.26,1.2781456953642385,0.0,17.33019867549669
12521,143,1,599.68,0.0,0.0,14.748108108108108
12522,39,2,192.72,1.0909090909090908,0.0,15.883636363636363
12523,19,23,4352.35,2.8266129032258065,0.11646586345381527,17.469959677419357
12524,9,17,11126.11,2.7364016736401675,0.1375,46.40213389121339
12525,498,3,973.73,2.5084745762711864,0.0,16.359830508474577
12526,1,3,1316.66,1.3285714285714285,0.0,18.29514285714286
12527,82,5,735.51,14.35483870967742,0.0,23.2441935483871
12528,9,6,1933.48,3.318681318681319,0.0,20.653626373626373
12529,528,1,316.48,0.0,0.0,14.939000000000002
12530,60,9,3759.26,3.6878980891719744,0.10759493670886076,23.71503184713376
12531,15,2,1933.2,5.325396825396825,0.0,15.10515873015873
12532,30,1,349.83,0.0,0.0,20.922000000000004
12533,628,2,1367.89,1.5492957746478873,0.0,18.759014084507044
12534,131,1,1089.18,0.0,0.0,15.82548387096774
12535,92,2,716.35,2.8484848484848486,0.0,20.62272727272727
12536,43,3,12601.83,0.057692307692307696,0.0,32.4645
12537,409,1,732.94,0.0,0.0,14.593809523809526
12538,29,2,640.45,10.575757575757576,0.0,18.957575757575757
12539,22,7,11214.75,1.3737574552683898,0.0,22.26113320079523
12540,20,33,22254.49,0.9038961038961039,0.07133592736705577,28.792844155844158
12541,30,3,981.18,4.901960784313726,0.21153846153846154,17.59176470588235
12542,484,2,481.88,4.105263157894737,0.0,12.524473684210527
12543,448,1,980.25,0.0,0.0,23.15357142857143
12544,36,1,372.7,0.0,0.0,17.594444444444445
12545,75,2,1000.39,3.7551020408163267,0.32,18.701836734693877
12546,47,2,1161.5,0.45588235294117646,0.0,16.25735294117647
12547,198,3,383.58,15.05,0.0,17.779
12548,166,1,95.2,0.0,1.0,16.799999999999997
12549,576,6,1575.68,2.5,0.0,32.189166666666665
12550,79,1,964.83,0.0,0.0,16.864821428571428
12551,358,1,168.0,0.0,0.0,16.833333333333332
12552,39,2,437.82,0.0,0.0,16.72736842105263
12553,8,12,4608.75,1.7257383966244726,0.09243697478991597,19.370253164556964
12554,449,1,468.5,0.0,0.0,15.38
12555,682,1,129.23,,0.0,
12556,50,2,599.56,0.847457627118644,0.0,4.970423728813559
12557,16,8,18096.14,13.51923076923077,0.2641509433962264,327.23346153846154
12558,8,1,269.96,0.0,0.0,26.492
12559,311,2,561.71,0.4,0.0,24.305500000000002
12560,5,3,2134.01,1.3076923076923077,0.26666666666666666,19.82701923076923
12561,303,1,238.85,0.0,0.0,15.243333333333334
12562,8,9,4966.92,2.058252427184466,0.0,23.849126213592232
12563,409,1,249.24,0.0,0.0,20.061666666666667
12564,261,1,456.9,0.0,0.0,20.145000000000003
12565,289,1,145.92,0.0,0.0,16.065
12566,86,1,351.65,0.0,0.0,16.53611111111111
12567,23,15,11767.48,1.1477477477477478,0.26618705035971224,21.00807207207207
12568,645,1,70.0,0.0,0.0,13.0
12569,2,32,4124.69,1.267379679144385,0.05319148936170213,21.672139037433155
12570,682,1,77.52,,0.0,
12571,40,2,519.61,2.4545454545454546,0.0,15.345757575757576
12572,9,2,1020.42,0.7288135593220338,0.0,16.380000000000003
12573,227,5,717.41,1.9915254237288136,0.17647058823529413,5.854745762711865
12574,316,1,218.45,0.0,0.0,18.245
12575,457,2,622.82,1.864864864864865,0.0,16.346486486486487
12576,36,8,2142.72,3.4539007092198584,0.0,15.13631205673759
12577,35,8,1617.1,2.3535353535353534,0.0,5.433333333333334
12578,21,4,4642.45,2.456140350877193,0.0,26.002631578947366
12579,78,1,440.42,0.0,0.0,13.800714285714287
12580,247,2,1052.9,5.771929824561403,0.0,17.840350877192982
12581,40,1,197.71,0.0,0.0,12.836428571428572
12582,239,4,1980.4,3.3137254901960786,0.0,19.245686274509804
12583,3,27,13591.58,1.6134831460674157,0.16367713004484305,30.340629213483147
12584,4,9,2338.15,2.863157894736842,0.125,24.14315789473684
12585,234,2,2040.1,1.3604651162790697,0.0,22.46627906976744
12586,17,4,2062.67,7.580645161290323,0.0,22.148279569892473
12587,8,1,144.0,0.0,0.0,34.666666666666664
12588,39,4,958.78,12.4,0.0,20.417333333333332
12589,29,8,4695.66,3.6815642458100557,0.0,25.931061452513966
12590,211,2,9864.26,0.0,0.0,139.4217910447761
12591,317,3,1338.95,1.3582089552238805,0.07352941176470588,19.747014925373133
12592,92,5,2582.66,5.325,0.0,32.05825
12593,109,3,418.1,5.5,0.0,19.735
12594,38,15,5090.11,3.04040404040404,0.0,25.27368686868687
12595,505,1,299.02,0.0,0.0,15.787222222222223
12596,51,2,618.27,7.3076923076923075,0.0,19.471923076923076
12597,19,4,3811.22,1.2097560975609756,0.6213592233009708,18.454731707317073
12598,10,11,4534.09,3.0926829268292684,0.1262135922330097,22.03263414634146
12599,29,13,2296.72,4.098484848484849,0.21052631578947367,17.263030303030302
12600,29,21,4967.42,5.37984496124031,0.17692307692307693,38.088527131782946
12601,190,6,681.26,6.424242424242424,0.17647058823529413,20.098787878787878
12602,59,1,153.12,0.0,0.0,12.974545454545455
12603,22,1,739.2,0.0,0.0,613.1999999999999
12604,79,2,254.18,12.133333333333333,0.0,16.502666666666666
12605,376,4,1232.95,1.08,0.40789473684210525,15.959333333333333
12606,682,1,21.0,,0.0,
12607,60,1,1579.51,0.0,0.0,15.4951
12608,405,1,415.79,0.0,1.0,27.656000000000002
12609,78,9,3435.86,3.6724137931034484,0.09714285714285714,19.539425287356323
12610,23,5,2099.54,0.9619047619047619,0.0,19.614666666666665
12611,52,1,1193.32,0.0,0.0,18.489375
12612,74,1,704.04,0.0,0.0,37.11333333333333
12613,57,10,6817.37,2.046153846153846,0.0,20.588830769230768
12614,278,1,315.6,0.0,0.0,15.9
12615,2,8,5740.98,2.3308550185873607,0.0,21.182230483271375
12616,95,3,1131.1,5.528301886792453,0.0,20.662264150943393
12617,29,1,352.98,0.0,0.0,8.80075
12618,22,1,177.31,0.0,0.0,13.731
12619,16,10,3781.38,5.474747474747475,0.14,37.65030303030303
12620,15,3,1339.41,2.076923076923077,0.0,14.323186813186814
12621,2,35,24311.2,0.8596026490066225,0.0701058201058201,32.081059602649006
12622,232,1,180.1,0.0,0.0,16.21
12623,276,7,3747.84,2.4302325581395348,0.10404624277456648,21.580465116279072
12624,106,2,641.13,1.9189189189189189,0.0,16.354864864864865
12625,212,4,5164.88,2.1043956043956045,0.3224043715846995,27.587252747252748
12626,23,9,6620.48,1.023890784982935,0.0,22.472627986348126
12627,11,7,4478.53,0.5545851528384279,0.1608695652173913,19.321091703056766
12628,4,3,786.46,1.475,0.2682926829268293,19.21525
12629,386,2,1558.22,0.8409090909090909,0.0,29.959545454545456
12630,10,2,1270.88,0.5396825396825397,0.0,18.26793650793651
12631,57,6,3481.57,3.4835164835164836,0.15300546448087432,18.250384615384615
12632,521,2,804.88,1.2941176470588236,0.0,22.614117647058823
12633,59,7,5678.16,1.521311475409836,0.0,18.557901639344262
12634,536,2,490.0,0.631578947368421,0.0,18.94736842105263
12635,90,4,2930.41,2.056179775280899,0.3407821229050279,15.75511235955056
12636,739,1,141.0,,0.0,
12637,67,12,8283.81,0.768352365415987,0.0,13.51016313213703
12638,33,2,921.49,12.893617021276595,0.8125,16.201914893617023
12639,239,3,1312.37,6.174603174603175,0.0,18.92650793650794
12640,24,3,1174.58,1.0961538461538463,0.0,21.438846153846153
12641,115,1,185.9,0.0,0.0,18.955555555555556
12642,25,3,1013.26,1.7826086956521738,0.0,21.24478260869565
12643,128,12,8304.82,9.54,0.0,163.3964
12644,130,4,1918.49,5.127272727272727,0.06306306306306306,17.286272727272728
12645,34,8,3539.3,3.9622641509433962,0.0875,21.920125786163524
12646,5,2,1346.97,1.0,0.0,30.303863636363634
12647,22,36,16955.55,1.272373540856031,0.12233009708737864,32.81235408560311
12648,155,4,1112.0,8.53125,0.0,17.09375
12649,107,8,2294.65,5.0085470085470085,0.0,19.481623931623933
12650,3,1,314.44,0.0,0.0,12.76
12651,335,4,377.75,4.482758620689655,0.3,12.410344827586206
12652,331,2,1017.03,2.04,0.0,17.820600000000002
12653,149,3,4160.83,4.435294117647059,0.0,48.598
12654,11,5,601.98,7.648648648648648,0.0,15.783243243243243
12655,424,1,261.35,0.0,0.0,16.223333333333336
12656,17,8,6407.83,2.203252032520325,0.1902834008097166,25.75540650406504
12657,11,4,1643.18,1.434782608695652,0.0,35.35173913043479
12658,19,1,686.05,0.0,0.0,18.058571428571426
12659,30,1,91.68,0.0,0.0,18.419999999999998
12660,11,1,245.1,0.0,0.0,18.925
12661,436,1,162.0,0.0,0.0,14.459999999999999
12662,1,20,6726.54,1.5564102564102564,0.10485933503836317,17.201384615384615
12663,625,2,239.4,4.777777777777778,0.0,24.6
12664,8,11,6070.04,16.204545454545453,0.08888888888888889,136.13727272727272
12665,325,3,313.6,21.4375,0.0,18.6625
12666,394,1,1248.42,0.0,0.0,40.594
12667,58,1,620.13,0.0,0.0,18.4509375
12668,12,10,11383.03,1.2355140186915887,0.43470149253731344,21.007532710280376
12669,151,3,2744.03,1.05,0.0,26.720299999999998
12670,10,7,3760.29,5.7368421052631575,0.0,32.511315789473684
12671,606,1,2622.48,0.0,0.0,58.697295454545454
12672,330,2,437.05,12.619047619047619,0.0,19.983333333333334
12673,5,3,1230.02,5.424657534246576,0.25675675675675674,16.356438356164382
12674,39,4,1970.6,2.0609756097560976,0.0,23.746341463414634
12675,554,2,957.25,0.21621621621621623,0.0,8.50900900900901
12676,25,11,2843.09,4.2924528301886795,0.24299065420560748,26.44424528301887
12677,555,2,395.1,5.55,0.0,18.855
12678,42,21,34281.18,1.728,0.047872340425531915,91.27728
12679,59,4,1113.02,4.74468085106383,0.0,22.05744680851064
12680,1,4,880.81,2.1346153846153846,0.1320754716981132,16.592499999999998
12681,15,45,29834.76,0.48559381588193956,0.12148876404494383,20.864905130007028
12682,4,52,22950.22,0.7176113360323887,0.042467138523761376,23.17431174089069
12683,4,21,11633.7,1.4691358024691359,0.12525667351129363,23.762757201646092
12684,8,7,2283.63,1.9519230769230769,0.0,21.784903846153846
12685,28,6,2863.08,0.40384615384615385,0.08917197452229299,18.006923076923076
12686,372,1,89.14,0.0,0.0,11.856666666666667
12687,481,2,2138.91,0.0,0.0,16.96968
12688,114,1,4873.81,0.0,0.0,27.875352941176473
12689,26,2,1247.61,1.4225352112676057,0.0,16.557887323943664
12690,206,1,389.01,0.0,0.0,22.600666666666665
12691,28,7,1170.4,10.263157894736842,0.15384615384615385,30.326315789473686
12692,637,1,110.95,0.0,0.0,9.166666666666666
12693,127,7,1703.02,5.0256410256410255,0.13924050632911392,21.37205128205128
12694,70,3,1843.35,4.2560975609756095,0.0,21.821341463414633
12695,7,7,1407.12,11.293103448275861,0.0,23.967586206896552
12696,435,2,851.91,1.5416666666666667,0.0,17.393958333333334
12697,29,3,957.59,3.475,0.24390243902439024,22.93975
12698,590,1,339.75,0.0,0.0,19.05
12699,418,1,638.11,0.0,0.0,14.152750000000001
12700,8,4,4939.99,0.7715355805243446,0.23134328358208955,18.029925093632958
12701,80,6,2446.41,3.767123287671233,0.0,16.509657534246575
12702,20,1,219.0,0.0,1.0,18.272727272727273
12703,71,4,1006.53,8.383561643835616,0.5405405405405406,13.562054794520547
12704,7,8,2340.84,1.8160919540229885,0.0,26.446436781609197
12705,15,14,11762.1,0.8578595317725752,0.15358931552587646,19.638963210702343
12707,292,1,603.42,0.0,0.0,18.699375
12708,30,18,5117.66,2.3152542372881357,0.12837837837837837,17.29715254237288
12709,15,34,30291.76,1.4294478527607362,0.07959183673469387,61.884989775051125
12710,97,3,1149.02,1.355263157894737,0.948051948051948,14.645
12711,612,2,1339.05,1.1016949152542372,0.0,22.360169491525422
12712,29,21,6723.03,2.7137254901960786,0.0,26.223647058823527
12713,1,1,848.55,0.0,0.0,22.487837837837837
12714,9,12,14093.71,1.0359712230215827,0.0,20.149223021582735
12715,106,1,343.36,0.0,0.0,17.15578947368421
12716,4,2,1053.49,1.8970588235294117,0.0,14.963088235294117
12717,151,3,1308.91,6.257142857142857,0.0,17.270142857142858
12718,71,1,238.25,0.0,0.0,11.23611111111111
12719,5,2,644.95,1.5526315789473684,0.5384615384615384,16.025000000000002
12720,3,30,7787.28,1.0313807531380754,0.162839248434238,16.10309623430962
12721,32,8,4013.08,1.8319327731092436,0.0,16.634789915966387
12722,85,4,997.63,1.2115384615384615,0.03773584905660377,18.550576923076925
12723,4,5,725.07,0.8823529411764706,0.0,10.398088235294118
12724,5,7,2317.52,4.1171875,0.2558139534883721,17.965
12725,371,4,2266.76,2.019047619047619,0.0,21.054857142857145
12726,28,11,4014.6,3.3146067415730336,0.08379888268156424,22.25056179775281
12727,11,10,5679.53,3.1683168316831685,0.15270935960591134,28.018465346534654
12728,71,5,1070.17,5.183333333333334,0.3770491803278688,17.536166666666666
12729,114,1,453.01,0.0,0.0,16.6804
12730,522,1,829.25,0.0,0.0,17.642391304347825
12731,24,17,25775.71,1.5739795918367347,0.05343511450381679,65.62426020408164
12732,180,1,236.26,0.0,0.0,19.841818181818184
12733,234,4,2424.87,2.91025641025641,0.0,15.417115384615386
12734,353,3,639.65,2.1666666666666665,0.0,32.93611111111111
12735,315,2,779.57,0.5,0.0,17.27547619047619
12736,333,1,234.0,0.0,0.0,61.199999999999996
12737,499,2,3710.5,0.0,0.0,100.0
12738,372,1,155.35,0.0,0.0,13.735
12739,78,4,2726.73,3.5681818181818183,0.0,30.559431818181817
12740,64,1,427.6,0.0,0.0,15.93846153846154
12741,529,2,406.07,0.2,0.0,15.738
12742,626,1,1201.52,0.0,0.0,18.004848484848484
12743,134,2,540.13,0.0,0.0,4.126
12744,52,11,25317.06,1.5857988165680474,0.0,68.63408284023669
12745,487,3,925.41,8.863636363636363,0.0,39.36409090909091
12746,541,1,254.55,0.0,0.0,15.121875000000001
12747,2,26,8898.48,2.907258064516129,0.1606425702811245,35.73822580645161
12748,1,336,53539.64,0.09234507897934387,0.19043280182232347,8.131028250303768
12749,4,9,6897.36,1.5222551928783383,0.17751479289940827,20.422433234421366
12750,129,1,275.88,0.0,0.0,18.955714285714286
12751,445,1,268.27,0.0,0.0,4.314262295081967
12752,81,1,4366.78,0.0,0.0,82.63807692307692
12753,23,6,21429.39,1.719387755102041,0.2436548223350254,109.0470918367347
12754,236,3,3010.74,1.1612903225806452,0.0,44.30225806451613
12755,281,11,5236.26,6.596774193548387,0.0,84.42919354838709
12756,87,1,112.08,0.0,0.0,30.560000000000002
12757,16,13,7834.65,0.5234159779614325,0.0,21.42878787878788
12758,117,7,9903.24,1.983974358974359,0.0,31.635384615384616
12759,52,8,5020.74,2.259136212624585,0.0,16.530697674418604
12760,456,1,347.8,0.0,0.0,15.89
12761,458,2,782.95,0.2692307692307692,0.0,29.15192307692308
12762,8,2,1898.52,0.25,0.0,27.725294117647056
12763,138,2,494.08,13.529411764705882,1.0,23.945882352941176
12764,317,1,1693.88,0.0,0.0,37.692727272727275
12765,472,6,1404.58,2.4925373134328357,0.058823529411764705,20.74
12766,4,9,8918.99,1.0,0.08706467661691543,21.962568578553615
12767,376,1,949.82,0.0,0.0,22.07904761904762
12768,451,1,168.69,0.0,0.0,17.576666666666668
12769,239,1,1143.6,0.0,0.0,36.251612903225805
12770,211,2,3246.45,9.074074074074074,0.0,117.18333333333332
12771,486,1,282.3,0.0,0.0,18.74285714285714
12772,60,1,892.47,0.0,0.0,13.93462962962963
12773,564,1,124.25,0.0,0.0,7.45
12774,536,1,98.7,0.0,0.0,17.7
12775,17,7,1686.12,4.8625,0.0,20.889000000000003
12776,668,1,55.5,0.0,0.0,9.166666666666666
12777,458,1,519.45,0.0,0.0,20.07
12778,20,9,1775.68,5.123893805309734,0.07017543859649122,15.236106194690265
12779,38,14,6474.11,2.5858208955223883,0.0,24.11384328358209
12780,599,1,337.4,0.0,0.0,16.68421052631579
12781,64,2,826.74,9.208333333333334,0.0,32.780833333333334
12782,5,11,4618.24,2.247787610619469,0.0,20.31079646017699
12783,2,6,2225.91,0.8554216867469879,0.21428571428571427,26.516987951807227
12784,9,3,1763.15,4.0546875,0.0,13.337109375
12785,364,3,1100.4,6.654545454545454,0.0,18.989090909090912
12786,610,1,728.5,0.0,0.0,39.32352941176471
12787,10,4,862.18,9.348837209302326,0.0,19.70186046511628
12788,463,4,444.9,2.56,0.11538461538461539,17.184
12789,65,3,273.35,89.71428571428571,0.0,36.90714285714286
12790,192,2,591.85,6.055555555555555,0.0,15.606944444444444
12791,374,6,863.51,9.222222222222221,0.32142857142857145,31.426296296296297
12792,257,2,827.01,6.043478260869565,0.0,16.76108695652174
12793,335,3,885.53,1.5348837209302326,0.38636363636363635,19.29139534883721
12794,53,2,860.41,1.0227272727272727,0.0,19.1025
12795,19,1,430.48,0.0,0.0,24.49846153846154
12796,628,1,381.0,0.0,1.0,58.5
12797,366,2,552.08,2.0,0.0,18.071724137931035
12798,10,4,8510.93,12.8125,0.0,151.8540625
12799,529,1,219.35,0.0,0.0,14.489285714285714
12800,470,3,584.25,6.242424242424242,0.0,17.225757575757576
