Customer ID,Recency,Frequency,Monetary
12450,156,5,688.2
12451,11,8,12669.88
12452,17,2,430.57
12453,134,1,707.09
12454,56,5,16679.78
12455,73,10,5879.95
12456,44,3,3181.04
12457,66,8,2995.91
12458,71,4,1777.49
12459,605,1,454.36
12460,456,1,326.65
12461,94,2,826.88
12462,19,2,1189.59
12463,53,4,1344.78
12464,10,8,1212.05
12465,17,2,742.19
12466,682,1,56.73
12467,423,1,132.8
12468,188,5,3670.74
12469,523,2,3070.54
12470,690,1,211.95
12471,2,79,39918.19
12472,32,19,16249.29
12473,29,5,3928.05
12474,17,31,12372.75
12475,54,2,1149.64
12476,16,23,14083.91
12477,23,9,20276.37
12478,4,1,680.99
12479,11,1,527.2
12480,28,7,5464.85
12481,23,15,12185.51
12482,576,29,23691.4
12483,17,19,5097.18
12484,33,12,6354.1
12485,529,1,708.1
12486,432,1,1037.28
12487,731,1,285.3
12488,10,3,1298.66
12489,336,1,334.93
12490,5,21,9823.64
12491,39,1,460.4
12492,63,3,715.21
12493,166,2,433.74
12494,16,9,1815.27
12495,641,1,357.4
12496,620,2,45.34
12497,82,3,6248.5
12498,21,3,403.7
12499,560,1,393.72
12500,23,19,5955.21
12501,337,1,2169.39
12502,96,5,3723.87
12503,584,1,1126.0
12504,18,4,779.05
12505,409,1,955.2
12506,233,1,73.5
12507,134,4,1844.06
12508,26,2,397.88
12509,284,1,176.5
12510,143,9,5178.02
12511,429,1,3084.02
12512,66,2,132.18
12513,113,1,612.29
12514,267,2,1597.76
12515,353,1,383.7
12516,78,4,2648.62
12517,28,5,2481.6
12518,1,5,2056.89
12519,64,2,716.54
12520,79,5,2634.26
12521,143,1,599.68
12522,39,2,192.72
12523,19,23,4352.35
12524,9,17,11126.11
12525,498,3,973.73
12526,1,3,1316.66
12527,82,5,735.51
12528,9,6,1933.48
12529,528,1,316.48
12530,60,9,3759.26
12531,15,2,1933.2
12532,30,1,349.83
12533,628,2,1367.89
12534,131,1,1089.18
12535,92,2,716.35
12536,43,3,12601.83
12537,409,1,732.94
12538,29,2,640.45
12539,22,7,11214.75
12540,20,33,22254.49
12541,30,3,981.18
12542,484,2,481.88
12543,448,1,980.25
12544,36,1,372.7
12545,75,2,1000.39
12546,47,2,1161.5
12547,198,3,383.58
12548,166,1,95.2
12549,576,6,1575.68
12550,79,1,964.83
12551,358,1,168.0
12552,39,2,437.82
12553,8,12,4608.75
12554,449,1,468.5
12555,682,1,129.23
12556,50,2,599.56
12557,16,8,18096.14
12558,8,1,269.96
12559,311,2,561.71
12560,5,3,2134.01
12561,303,1,238.85
12562,8,9,4966.92
12563,409,1,249.24
12564,261,1,456.9
12565,289,1,145.92
12566,86,1,351.65
12567,23,15,11767.48
12568,645,1,70.0
12569,2,32,4124.69
12570,682,1,77.52
12571,40,2,519.61
12572,9,2,1020.42
12573,227,5,717.41
12574,316,1,218.45
12575,457,2,622.82
12576,36,8,2142.72
12577,35,8,1617.1
12578,21,4,4642.45
12579,78,1,440.42
12580,247,2,1052.9
12581,40,1,197.71
12582,239,4,1980.4
12583,3,27,13591.58
12584,4,9,2338.15
12585,234,2,2040.1
12586,17,4,2062.67
12587,8,1,144.0
12588,39,4,958.78
12589,29,8,4695.66
12590,211,2,9864.26
12591,317,3,1338.95
12592,92,5,2582.66
12593,109,3,418.1
12594,38,15,5090.11
12595,505,1,299.02
12596,51,2,618.27
12597,19,4,3811.22
12598,10,11,4534.09
12599,29,13,2296.72
12600,29,21,4967.42
12601,190,6,681.26
12602,59,1,153.12
12603,22,1,739.2
12604,79,2,254.18
12605,376,4,1232.95
12606,682,1,21.0
12607,60,1,1579.51
12608,405,1,415.79
12609,78,9,3435.86
12610,23,5,2099.54
12611,52,1,1193.32
12612,74,1,704.04
12613,57,10,6817.37
12614,278,1,315.6
12615,2,8,5740.98
12616,95,3,1131.1
12617,29,1,352.98
12618,22,1,177.31
12619,16,10,3781.38
12620,15,3,1339.41
12621,2,35,24311.2
12622,232,1,180.1
12623,276,7,3747.84
12624,106,2,641.13
12625,212,4,5164.88
12626,23,9,6620.48
12627,11,7,4478.53
12628,4,3,786.46
12629,386,2,1558.22
12630,10,2,1270.88
12631,57,6,3481.57
12632,521,2,804.88
12633,59,7,5678.16
12634,536,2,490.0
12635,90,4,2930.41
12636,739,1,141.0
12637,67,12,8283.81
12638,33,2,921.49
12639,239,3,1312.37
12640,24,3,1174.58
12641,115,1,185.9
12642,25,3,1013.26
12643,128,12,8304.82
12644,130,4,1918.49
12645,34,8,3539.3
12646,5,2,1346.97
12647,22,36,16955.55
12648,155,4,1112.0
12649,107,8,2294.65
12650,3,1,314.44
12651,335,4,377.75
12652,331,2,1017.03
12653,149,3,4160.83
12654,11,5,601.98
12655,424,1,261.35
12656,17,8,6407.83
12657,11,4,1643.18
12658,19,1,686.05
12659,30,1,91.68
12660,11,1,245.1
12661,436,1,162.0
12662,1,20,6726.54
12663,625,2,239.4
12664,8,11,6070.04
12665,325,3,313.6
12666,394,1,1248.42
12667,58,1,620.13
12668,12,10,11383.03
12669,151,3,2744.03
12670,10,7,3760.29
12671,606,1,2622.48
12672,330,2,437.05
12673,5,3,1230.02
12674,39,4,1970.6
12675,554,2,957.25
12676,25,11,2843.09
12677,555,2,395.1
12678,42,21,34281.18
12679,59,4,1113.02
12680,1,4,880.81
12681,15,45,29834.76
12682,4,52,22950.22
12683,4,21,11633.7
12684,8,7,2283.63
12685,28,6,2863.08
12686,372,1,89.14
12687,481,2,2138.91
12688,114,1,4873.81
12689,26,2,1247.61
12690,206,1,389.01
12691,28,7,1170.4
12692,637,1,110.95
12693,127,7,1703.02
12694,70,3,1843.35
12695,7,7,1407.12
12696,435,2,851.91
12697,29,3,957.59
12698,590,1,339.75
12699,418,1,638.11
12700,8,4,4939.99
12701,80,6,2446.41
12702,20,1,219.0
12703,71,4,1006.53
12704,7,8,2340.84
12705,15,14,11762.1
12707,292,1,603.42
12708,30,18,5117.66
12709,15,34,30291.76
12710,97,3,1149.02
12711,612,2,1339.05
12712,29,21,6723.03
12713,1,1,848.55
12714,9,12,14093.71
12715,106,1,343.36
12716,4,2,1053.49
12717,151,3,1308.91
12718,71,1,238.25
12719,5,2,644.95
12720,3,30,7787.28
12721,32,8,4013.08
12722,85,4,997.63
12723,4,5,725.07
12724,5,7,2317.52
12725,371,4,2266.76
12726,28,11,4014.6
12727,11,10,5679.53
12728,71,5,1070.17
12729,114,1,453.01
12730,522,1,829.25
12731,24,17,25775.71
12732,180,1,236.26
12733,234,4,2424.87
12734,353,3,639.65
12735,315,2,779.57
12736,333,1,234.0
12737,499,2,3710.5
12738,372,1,155.35
12739,78,4,2726.73
12740,64,1,427.6
12741,529,2,406.07
12742,626,1,1201.52
12743,134,2,540.13
12744,52,11,25317.06
12745,487,3,925.41
12746,541,1,254.55
12747,2,26,8898.48
12748,1,336,53539.64
12749,4,9,6897.36
12750,129,1,275.88
12751,445,1,268.27
12752,81,1,4366.78
12753,23,6,21429.39
12754,236,3,3010.74
12755,281,11,5236.26
12756,87,1,112.08
12757,16,13,7834.65
12758,117,7,9903.24
12759,52,8,5020.74
12760,456,1,347.8
12761,458,2,782.95
12762,8,2,1898.52
12763,138,2,494.08
12764,317,1,1693.88
12765,472,6,1404.58
12766,4,9,8918.99
12767,376,1,949.82
12768,451,1,168.69
12769,239,1,1143.6
12770,211,2,3246.45
12771,486,1,282.3
12772,60,1,892.47
12773,564,1,124.25
12774,536,1,98.7
12775,17,7,1686.12
12776,668,1,55.5
12777,458,1,519.45
12778,20,9,1775.68
12779,38,14,6474.11
12780,599,1,337.4
12781,64,2,826.74
12782,5,11,4618.24
12783,2,6,2225.91
12784,9,3,1763.15
12785,364,3,1100.4
12786,610,1,728.5
12787,10,4,862.18
12788,463,4,444.9
12789,65,3,273.35
12790,192,2,591.85
12791,374,6,863.51
12792,257,2,827.01
12793,335,3,885.53
12794,53,2,860.41
12795,19,1,430.48
12796,628,1,381.0
12797,366,2,552.08
12798,10,4,8510.93
12799,529,1,219.35
12800,470,3,584.25
12801,501,1,1071.82
12802,187,7,2416.42
12803,393,1,1092.81
12804,466,2,325.37
12805,382,4,1434.95
12806,435,4,2878.96
12807,383,1,330.35
12808,37,5,776.7
12809,178,3,1755.94
12810,535,2,534.99
12811,261,5,1033.9
12812,45,1,229.64
12813,502,3,1687.8
12814,102,1,125.92
12815,148,2,1063.46
12816,96,2,572.2
12817,281,3,690.98
12818,262,1,1542.08
12819,458,1,540.52
12820,3,11,2689.52
12821,214,2,220.8
12822,71,2,948.88
12823,75,18,6501.5
12824,60,1,397.12
12825,521,2,518.63
12826,3,12,2800.75
12827,6,3,430.15
12828,3,6,1018.71
12829,337,3,385.3
12830,38,6,6814.64
12831,262,3,451.11
12832,32,2,383.03
12833,145,1,417.38
12834,283,1,312.38
12835,428,41,5996.83
12836,59,15,6559.73
12837,173,2,662.66
12838,34,10,2975.91
12839,3,26,9669.12
12840,144,7,4041.97
12841,5,40,6958.2
12842,70,4,1917.99
12843,66,30,6583.36
12844,29,4,648.6
12845,267,4,354.09
12846,682,1,15.58
12847,22,2,1609.0
12848,676,1,208.0
12849,31,6,3042.47
12850,446,1,330.0
12851,97,2,280.76
12852,295,1,311.55
12853,135,11,3907.5
12854,79,7,2970.97
12855,373,4,612.84
12856,8,6,2170.78
12857,211,6,3688.0
12858,383,1,147.27
12859,459,1,575.1
12860,693,1,54.22
12861,620,1,68.25
12862,426,2,984.62
12863,52,6,2792.55
12864,138,2,299.57
12865,26,4,3323.47
12866,283,3,1227.35
12867,26,13,7829.26
12868,186,8,2043.76
12869,682,1,337.67
12870,375,3,1676.95
12871,84,3,744.02
12872,327,12,3283.96
12873,282,3,2027.3
12874,385,2,948.42
12875,143,5,1356.99
12876,58,4,4081.79
12877,4,20,2942.14
12878,236,2,854.99
12879,45,3,573.22
12880,382,2,640.13
12881,276,1,298.0
12882,9,2,1463.04
12883,25,4,703.47
12884,88,1,309.05
12885,63,3,1175.22
12886,68,2,1378.4
12887,384,1,222.4
12888,214,2,354.12
12889,381,4,385.46
12890,24,2,706.02
12891,186,11,840.5
12892,397,1,263.38
12893,31,1,176.55
12894,575,1,157.35
12895,42,2,372.8
12897,205,4,514.25
12898,464,2,296.21
12899,414,1,366.4
12900,422,1,340.33
12901,9,28,17654.54
12902,265,1,138.68
12903,429,1,833.53
12904,18,2,496.06
12905,577,2,1018.42
12906,12,5,2919.81
12907,396,2,508.91
12908,176,5,1776.0
12909,40,8,3103.19
12910,23,13,5796.52
12911,552,1,1651.72
12912,3,5,1662.3
12913,5,13,6283.24
12914,401,1,223.98
12915,149,4,975.1
12916,139,7,4479.73
12917,128,6,4359.2
12918,626,1,10953.5
12919,8,6,1335.19
12920,17,4,486.64
12921,9,74,35233.24
12922,161,1,405.38
12923,64,3,770.42
12924,88,12,2469.4
12925,5,3,729.33
12926,411,4,1523.97
12927,395,1,197.31
12928,35,12,4304.89
12929,312,1,117.85
12930,78,2,415.8
12931,22,57,92347.34
12932,539,8,1698.56
12933,24,8,1636.63
12934,737,1,181.65
12935,2,15,4243.86
12936,17,4,1063.9
12937,15,9,3097.61
12938,26,1,114.14
12939,64,20,25264.8
12940,55,2,899.69
12941,724,1,377.49
12942,131,3,675.6
12943,558,2,496.5
12944,36,2,604.51
12945,288,2,900.11
12946,437,1,324.45
12947,144,6,1603.99
12948,16,9,2317.43
12949,31,22,15526.7
12950,2,3,1843.0
12951,9,15,3213.72
12952,6,4,1387.79
12953,10,2,828.81
12954,639,1,162.45
12955,1,11,4757.16
12956,306,4,521.89
12957,10,13,8706.97
12958,400,2,467.34
12959,484,1,150.95
12960,414,4,1322.07
12961,379,1,211.99
12962,7,2,266.39
12963,8,12,3235.79
12964,437,1,132.24
12965,89,1,769.81
12966,10,1,160.18
12967,358,3,2938.52
12968,112,1,135.95
12969,603,1,122.45
12970,7,10,1453.6
12971,4,116,15704.6
12972,414,4,1161.2
12973,414,1,385.55
12974,198,2,408.95
12975,437,6,2100.09
12976,212,8,3156.38
12977,156,4,513.88
12978,385,5,2502.82
12979,729,1,517.7
12980,158,21,16245.78
12981,30,2,372.22
12982,243,8,2744.81
12983,598,1,490.08
12984,19,1,97.5
12985,1,2,1239.38
12986,429,10,2729.84
12987,74,5,1312.21
12988,292,1,505.82
12989,3,33,13551.75
12990,31,7,955.5
12991,23,3,764.82
12992,725,1,93.35
12993,23,8,1259.63
12994,4,3,974.42
12995,85,1,211.32
12996,376,1,355.5
12997,22,8,2110.91
12998,493,3,920.08
12999,196,3,455.88
13000,107,4,1032.5
13001,4,33,24042.65
13002,318,3,414.13
13003,106,3,149.05
13004,12,36,11650.85
13005,174,4,999.68
13006,56,1,81.57
13007,580,1,175.25
13008,323,3,612.13
13009,673,1,234.0
13010,374,2,330.12
13011,372,1,50.55
13012,9,11,2957.83
13013,1,29,11097.43
13014,11,11,5381.08
13015,53,11,6579.78
13016,73,3,789.89
13017,7,1,204.0
13018,16,35,9763.16
13019,379,6,1229.95
13020,563,2,618.96
13021,4,17,4887.24
13022,430,1,65.3
13023,64,3,1449.03
13024,471,2,555.87
13025,732,1,323.39
13026,1,9,1733.08
13027,114,19,17239.2
13028,23,2,661.32
13029,31,5,1927.3
13030,11,2,752.44
13031,407,5,3292.84
13032,52,9,2815.96
13033,357,2,220.55
13034,55,3,756.82
13035,74,3,1364.2
13036,685,1,307.1
13037,138,12,3914.95
13038,80,3,908.46
13039,584,4,1010.73
13040,9,2,676.99
13041,451,4,799.13
13042,598,3,1488.59
13043,273,1,516.42
13044,291,11,4848.05
13045,99,3,808.92
13046,31,3,949.25
13047,32,24,8428.53
13048,14,9,4049.13
13049,64,4,1408.24
13050,15,35,11986.52
13051,579,2,155.8
13052,212,7,3119.33
13053,622,1,127.65
13055,78,4,2321.11
13056,551,1,209.48
13057,530,3,709.59
13058,25,3,271.4
13059,250,10,2291.77
13060,254,1,307.53
13061,72,1,248.61
13062,191,1,346.98
13063,481,1,188.4
13064,13,6,1666.84
13065,373,5,1055.05
13066,24,2,470.8
13067,82,3,508.51
13068,10,2,344.0
13069,1,38,9284.45
13070,192,4,751.7
13071,612,1,129.22
13072,267,1,177.15
13073,411,2,418.08
13074,511,4,1378.74
13075,130,1,919.61
13076,458,1,135.4
13077,1,11,2740.65
13078,3,57,29018.06
13079,4,6,419.18
13080,179,4,280.73
13081,12,28,56838.37
13082,126,21,7335.75
13083,4,3,395.43
13084,492,1,122.4
13085,158,8,2433.28
13086,383,1,439.33
13087,726,1,313.64
13088,417,1,236.11
13089,3,203,113416.91
13090,9,24,13091.74
13091,28,3,2321.82
13092,71,12,2140.28
13093,276,55,54144.25
13094,21,13,2209.44
13095,71,1,74.4
13096,394,1,419.7
13097,33,28,13324.1
13098,1,28,28882.44
13099,99,1,207.36
13101,234,4,695.4
13102,1,37,11380.1
13103,40,3,709.64
13104,3,9,1709.1
13105,436,1,72.0
13106,133,2,603.46
13107,44,9,5253.07
13108,373,2,748.46
13109,60,3,1134.03
13110,31,12,2957.47
13111,719,1,321.88
13112,541,1,20.6
13113,1,37,18230.07
13114,731,1,234.38
13115,12,10,5494.7
13116,138,1,501.14
13117,22,18,2255.66
13118,20,9,2415.41
13119,669,1,134.9
13120,239,1,30.6
13121,269,1,283.73
13122,94,2,922.39
13123,473,2,506.75
13124,90,4,4641.66
13125,524,1,148.62
13126,5,13,3774.81
13127,78,1,259.17
13128,631,1,263.5
13129,452,2,233.25
13130,94,1,64.0
13131,23,7,3313.77
13132,262,1,77.3
13133,274,3,200.45
13134,86,6,2475.23
13135,197,2,3371.45
13136,56,13,6274.56
13137,11,16,7586.94
13138,22,7,1274.01
13139,16,8,8202.98
13140,108,5,1054.92
13141,85,17,7656.08
13142,19,1,307.09
13143,585,1,405.1
13144,333,2,135.35
13145,40,7,1128.52
13146,26,1,228.91
13147,10,4,712.8
13148,29,26,8497.82
13149,14,4,1676.06
13150,484,3,449.97
13151,296,3,2465.21
13152,417,7,2146.38
13153,6,1,486.22
13154,399,3,1624.84
13155,33,6,1370.48
13156,385,3,1586.54
13157,49,9,5687.36
13158,95,5,1508.18
13159,9,4,1429.35
13160,22,1,91.8
13161,313,2,472.13
13162,122,16,9275.49
13163,610,1,17.65
13164,569,2,372.2
13165,46,3,1451.16
13166,283,2,875.93
13167,19,5,1125.15
13168,36,5,1840.73
13169,64,3,840.08
13170,27,1,108.81
13171,22,3,468.41
13172,400,1,69.6
13173,4,11,2399.82
13174,16,12,7995.36
13175,582,2,831.45
13176,46,1,481.49
13177,65,2,512.2
13178,26,21,14059.19
13179,619,1,572.31
13180,607,1,86.1
13181,381,1,359.69
13182,45,1,121.18
13183,8,15,7036.18
13184,15,10,1668.95
13185,268,1,71.4
13186,40,3,1575.89
13187,337,4,341.36
13188,11,1,114.6
13189,19,2,260.68
13190,544,3,570.66
13191,658,1,164.69
13192,95,6,2558.58
13193,61,1,112.08
13194,136,2,472.78
13195,414,1,136.73
13196,11,7,3068.84
13197,610,1,373.01
13198,10,8,4974.23
13199,4,67,15964.21
13200,19,4,870.09
13201,502,4,1233.06
13202,394,7,1580.3
13203,10,10,2648.25
13204,731,1,966.66
13205,443,1,2803.2
13206,400,13,8308.19
13207,15,4,535.86
13208,59,9,1976.3
13209,30,13,8509.51
13210,94,1,353.48
13211,10,10,2618.77
13212,20,3,786.83
13213,57,11,3851.52
13214,418,7,3264.23
13215,402,1,81.6
13216,268,1,333.74
13217,122,4,666.48
13218,127,1,62.64
13219,618,1,76.23
13220,78,5,1336.09
13221,240,2,847.41
13222,577,1,88.5
13223,200,6,969.12
13224,60,2,2155.95
13225,3,16,16260.07
13226,273,2,312.46
13227,202,1,257.7
13228,81,1,358.0
13229,226,1,160.95
13230,4,30,6120.01
13232,13,7,1328.35
13233,74,4,1176.46
13234,673,2,346.5
13235,212,1,1031.07
13236,25,2,744.85
13237,388,1,643.0
13238,17,6,1006.63
13239,262,5,1594.69
13240,96,8,1475.79
13241,412,1,112.53
13242,112,7,699.4
13243,203,5,1220.38
13244,93,1,121.74
13245,51,2,989.22
13246,18,11,3351.75
13247,18,4,501.12
13248,125,2,465.68
13249,92,9,1608.93
13250,461,2,253.09
13251,402,1,252.68
13252,394,2,399.3
13253,157,4,2951.11
13254,376,1,51.41
13255,9,3,678.76
13257,436,1,149.75
13258,12,5,1009.43
13259,62,9,1402.54
13260,61,1,557.62
13261,269,2,944.1
13262,263,3,573.45
13263,1,39,8676.2
13264,443,1,722.56
13265,53,5,2092.66
13266,11,19,6135.04
13267,3,36,9429.81
13268,18,11,3174.75
13269,1,28,8537.32
13270,366,1,590.0
13271,37,1,211.49
13272,31,2,276.56
13273,113,1,138.98
13274,409,1,360.85
13275,384,2,238.86
13276,64,5,1891.91
13277,16,7,523.3
13278,41,4,1435.85
13279,78,1,137.75
13280,122,7,2293.33
13281,439,1,350.85
13282,18,4,1313.19
13283,60,4,373.36
13284,331,1,201.19
13285,23,6,3364.59
13286,600,1,734.91
13287,603,3,781.59
13288,443,5,927.61
13289,724,1,307.95
13290,438,1,208.63
13291,156,11,3270.79
13292,39,5,994.51
13293,392,6,1192.94
13294,190,3,1689.53
13295,360,4,1101.97
13296,137,6,792.51
13297,8,7,4368.62
13298,1,1,360.0
13299,268,3,1218.7
13300,169,3,1285.51
13301,104,4,618.09
13302,155,2,159.2
13303,400,1,61.72
13304,351,4,1217.99
13305,4,16,3616.41
13306,430,1,53.65
13307,120,3,273.34
13308,23,4,1670.37
13309,7,6,1706.37
13310,28,5,1541.2
13311,4,2,598.57
13312,451,1,124.75
13313,22,12,3445.32
13314,2,3,775.94
13315,689,1,310.26
13316,37,10,12940.82
13317,66,19,6486.09
13318,1,3,640.76
13319,5,58,21323.22
13320,78,6,2211.6
13321,72,2,567.36
13322,17,1,199.48
13323,3,5,787.85
13324,36,18,10513.47
13325,82,1,675.3
13326,432,1,281.76
13327,39,20,9134.48
13328,316,1,1308.48
13329,32,8,4808.77
13330,93,6,2796.1
13331,402,1,262.4
13332,14,1,350.9
13333,411,3,1015.74
13334,82,5,6201.8
13336,77,1,795.12
13337,546,1,1575.26
13338,158,4,2445.62
13339,201,1,860.12
13340,45,12,22100.56
13341,261,1,775.85
13343,178,1,353.43
13344,68,3,2511.69
13345,288,1,389.5
13346,463,6,299.4
13347,70,1,341.36
13348,64,1,233.76
13349,11,1,247.32
13350,16,2,979.12
13351,66,1,373.94
13352,60,1,397.98
13354,71,1,743.53
13355,122,1,674.7
13356,80,1,768.24
13357,257,5,3805.51
13358,269,1,439.03
13359,64,2,1043.31
13360,432,4,1553.65
13361,472,2,1450.5
13362,9,7,5394.07
13363,18,3,1723.86
13364,71,1,134.96
13365,34,2,2225.37
13366,50,1,56.16
13367,432,1,510.2
13368,257,4,1121.5
13369,366,1,308.28
13370,372,1,754.87
13371,505,2,2297.66
13372,90,1,378.64
13373,61,6,7587.19
13374,415,2,422.8
13375,89,2,1792.23
13376,99,3,1019.76
13377,397,2,1552.88
13379,26,3,572.56
13380,433,1,62.4
13381,32,12,8224.37
13382,281,5,1387.58
13383,544,1,305.28
13384,31,11,6680.83
13385,330,1,534.57
13386,414,2,835.46
13387,417,1,186.94
13388,131,3,1185.65
13389,11,3,797.96
13390,75,1,544.08
13391,204,1,59.8
13392,677,1,91.14
13393,584,4,1131.45
13394,2,19,6621.7
13395,185,3,1180.23
13396,29,2,1360.99
13397,73,10,3191.87
13398,192,2,670.34
13399,464,3,275.4
13400,583,1,310.83
13402,127,4,1226.85
13403,18,3,229.5
13404,1,2,252.49
13405,74,6,1213.81
13406,427,2,568.92
13407,579,3,2244.7
13408,2,106,50174.78
13410,24,9,2201.96
13411,107,1,213.55
13412,620,1,487.35
13413,640,6,429.44
13414,134,6,2494.14
13415,473,4,784.17
13416,44,3,940.8
13417,5,6,1669.49
13418,12,31,11559.66
13419,64,1,221.06
13420,150,2,159.85
13421,40,8,4058.75
13422,64,1,2626.3
13423,429,1,217.03
13424,450,1,572.77
13425,108,5,3390.43
13426,1,22,8167.38
13427,19,6,1006.53
13428,10,3,478.54
13429,11,4,1006.8
13430,19,2,679.45
13431,67,8,3316.24
13432,571,2,439.1
13433,501,4,658.32
13434,74,5,1666.86
13435,5,9,4447.33
13436,2,1,196.89
13437,14,7,3408.06
13438,547,1,46.5
13439,255,3,986.61
13440,423,7,1295.25
13441,92,2,720.9
13442,667,3,419.87
13443,449,6,1273.16
13444,374,2,619.08
13445,626,1,241.9
13446,430,11,3881.89
13447,23,3,1129.14
13448,17,13,8745.93
13449,24,1,291.88
13450,27,13,4120.04
13451,26,11,7090.06
13452,259,3,729.8
13453,166,3,781.69
13454,641,1,219.87
13455,25,6,2212.99
13456,18,6,1766.72
13457,689,2,148.22
13458,7,16,11959.27
13459,625,2,1160.41
13460,29,2,183.44
13461,39,6,4160.0
13462,253,5,1153.85
13464,58,6,3097.64
13465,446,2,931.12
13466,184,5,1013.35
13467,11,2,1071.91
13468,2,72,12793.28
13469,653,1,82.4
13470,99,2,165.0
13471,1,4,2501.84
13472,464,2,592.24
13473,61,8,2657.76
13474,236,3,646.59
13475,191,4,1431.78
13476,179,5,2061.47
13477,38,11,2819.17
13478,469,5,2215.78
13479,201,4,851.37
13480,417,2,627.82
13481,46,11,3830.84
13482,232,2,336.09
13483,66,1,140.34
13484,241,3,790.72
13485,233,11,3019.22
13486,78,3,1122.41
13487,58,5,846.87
13488,17,23,14205.96
13489,105,4,449.52
13490,654,1,154.25
13491,52,27,4467.66
13492,136,3,1269.84
13493,275,2,618.63
13494,312,1,316.26
13495,8,10,4863.31
13496,11,2,653.33
13497,283,6,1166.83
13498,730,1,327.38
13499,18,5,1159.11
13500,23,4,1466.3
13501,288,3,2885.11
13502,17,5,780.5
13503,71,6,1859.24
13504,64,1,295.93
13505,73,4,4393.63
13506,316,5,1338.08
13507,3,4,2479.16
13508,244,2,287.05
13509,9,8,1114.72
13510,1,11,4558.29
13511,677,1,282.76
13512,261,4,713.39
13513,127,3,824.59
13514,74,4,815.9
13515,73,6,1265.82
13516,21,4,1685.26
13517,60,3,2128.42
13518,86,1,627.16
13519,78,2,343.21
13520,59,11,6606.0
13521,1,3,1071.73
13522,30,1,125.8
13523,33,6,4534.57
13524,41,5,680.18
13525,15,2,628.78
13526,738,2,1182.0
13527,34,12,4541.29
13529,79,2,307.76
13530,634,1,402.98
13531,205,6,1433.07
13532,34,1,210.31
13533,183,3,269.09
13534,2,35,7720.9
13535,403,1,89.5
13536,1,7,3444.39
13537,426,2,717.85
13538,43,12,3103.13
13539,86,7,1569.36
13540,467,3,632.39
13541,427,2,785.25
13542,377,17,3959.49
13543,634,2,1439.61
13544,40,6,790.2
13545,391,2,364.93
13546,12,5,1086.24
13547,408,1,167.08
13548,96,3,901.44
13549,26,8,1005.8
13550,383,1,342.55
13551,319,2,244.2
13552,66,22,6948.92
13553,675,1,499.6
13554,380,7,1629.35
13555,74,13,8891.84
13556,429,2,200.82
13557,28,13,3032.26
13558,6,4,594.52
13559,513,2,990.0
13560,7,1,171.42
13561,216,11,1803.4
13562,82,8,4838.18
13563,84,2,777.53
13564,144,37,16498.97
13565,19,3,414.8
13566,41,5,1688.6
13567,428,4,1079.29
13568,173,1,187.05
13569,17,4,726.54
13570,243,1,239.49
13571,13,26,4537.26
13572,206,1,1384.25
13573,50,6,904.52
